"antimicrobial_compound","farm_type","continent","Mean","no_isolates","CILow","CIHigh"
"CAZI","Conventional","South America",5,156,2,8
"CFZ","Conventional","South America",49,156,41,57
"CHL","Conventional","South America",17,156,11,23
"CIP","Conventional","South America",38,156,30,46
"CTX","Conventional","South America",33,156,26,40
"ENR","Conventional","South America",39,156,31,47
"FOX","Conventional","South America",8,156,4,12
"GEN","Conventional","South America",24,156,17,31
"NAL","Conventional","South America",79,156,73,85
"NIT","Conventional","South America",9,156,5,13
"NOR","Conventional","South America",26,156,19,33
"TET","Conventional","South America",91,156,87,95
"TMP-SMZ","Conventional","South America",44,156,36,52
"AMP","Organic","South America",18,156,12,24
"CFZ","Organic","South America",3,156,0,6
"CHL","Organic","South America",3,156,0,6
"CIP","Organic","South America",2,156,0,4
"ENR","Organic","South America",3,156,0,6
"GEN","Organic","South America",3,156,0,6
"NAL","Organic","South America",15,156,9,21
"NIT","Organic","South America",3,156,0,6
"NOR","Organic","South America",3,156,0,6
"TET","Organic","South America",60,156,52,68
"TMP-SMZ","Organic","South America",29,156,22,36
